"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"S11630202103104","0","7","6","6","7","10","4","4","1","3","3","3"
"S11630202103105","0","14","22","15","12","15","15","8","9","14","24","10"
"S11630202103106","0","31","23","21","26","18","24","22","32","27","47","32"
"S11630202103107","0","14","19","15","19","19","28","22","19","12","17","6"
"S11630202103108","0","15","21","10","8","12","21","15","15","7","8","6"
"S11630202103109","0","54","50","39","46","54","56","46","32","16","27","23"
"S11630202103110","0","58","31","28","25","33","25","36","20","20","20","12"
"S11630202103111","0","11","4","20","11","6","9","4","7","7","15","7"
"S11630202103112","0","15","12","7","10","7","8","7","10","18","9","4"
"S11630202103113","0","12","8","9","14","4","17","4","10","10","11","2"
"S11630202103114","1","13","10","13","12","11","6","10","9","16","14","9"
"S11630202103115","0","12","10","17","10","7","12","8","6","7","9","6"
"S11630202103127","0","13","12","13","14","7","9","12","11","10","9","3"
"S11630202103117","0","21","16","6","7","14","16","9","10","7","22","56"
"S11630202103118","0","12","12","10","15","8","5","5","10","7","13","4"
"S11630202103119","0","14","12","7","13","12","18","7","11","5","5","7"
"S11630303106415","0","4","3","2","3","4","12","9","8","6","22","36"
"S11630303106502","0","13","2","5","4","12","9","5","7","6","6","4"
"S11630303106503","0","6","5","6","5","8","9","8","5","7","8","4"
"S11630303106504","0","27","23","23","30","58","59","41","27","42","47","31"
"S11630303106505","0","5","6","9","9","2","5","1","7","5","2","7"
"S11630303106506","0","6","3","3","2","4","4","3","2","4","5","2"
"S11630303106507","0","5","5","2","5","2","8","3","8","2","4","3"
"S11630303106508","0","9","11","16","15","11","10","9","10","8","20","11"
"S11630303106509","0","9","8","16","15","16","10","4","16","7","8","14"
"S11630303106510","0","38","34","23","27","28","36","32","35","36","43","26"
"S11630303106520","0","4","9","7","5","7","10","5","7","11","5","4"
"S11630202102806","0","10","4","5","9","14","13","7","14","10","11","2"
"S11630202102807","0","14","21","7","8","14","10","12","11","10","11","4"
"S11630202102808","0","9","11","8","12","17","4","12","13","10","6","6"
"S11630202102809","0","15","10","9","17","11","14","14","11","11","21","3"
"S11630202102902","0","13","11","4","6","6","7","7","5","8","11","0"
"S11630202102812","0","29","17","21","41","22","27","26","19","23","19","12"
"S11630202102813","0","28","25","24","31","34","20","32","51","25","42","22"
"S11630202102814","0","7","3","17","20","14","25","9","18","14","23","15"
"S11630202102815","0","4","6","3","8","8","11","7","4","4","11","4"
"S11630202102816","0","32","20","23","18","55","25","21","31","39","37","43"
"S11630202102817","0","15","39","14","23","18","16","23","16","9","25","2"
"S11630202102818","0","8","13","8","19","9","10","15","8","5","12","8"
"S11630202102819","0","18","19","18","17","18","11","9","14","17","29","14"
"S11630202102820","0","647","643","825","838","754","761","752","628","533","481","365"
"S11630202102821","0","8","10","10","8","16","12","7","18","25","29","12"
"S11630202102822","0","8","17","16","11","15","12","16","14","6","14","7"
"S11630202102823","0","8","13","15","7","7","14","3","13","12","9","10"
"S11630202102824","0","13","4","8","10","5","3","3","8","2","7","20"
"S11630202102825","0","16","16","11","9","20","30","17","14","11","13","9"
"S11630202102901","0","2","6","3","2","3","8","1","0","0","2","1"
"S11630202102905","0","9","7","8","5","4","3","9","3","15","0","5"
"S11630202102906","0","7","7","10","7","13","7","8","6","7","2","0"
"S11630202102907","0","0","5","3","0","1","6","4","4","2","5","0"
"S11630202102908","0","2","6","5","5","2","6","3","3","5","5","2"
"S11630202102909","0","5","11","12","1","3","10","8","11","2","6","1"
"S11630202102910","0","4","6","1","2","3","4","6","2","3","3","0"
"S11630202102911","0","3","8","4","4","1","8","1","2","1","0","2"
"S11630202102912","0","9","6","13","6","12","12","6","16","11","4","12"
"S11630202102913","0","14","7","8","4","8","3","6","7","3","6","6"
"S11630202102914","0","11","14","5","4","6","8","4","6","3","11","3"
"S11630202102915","0","5","6","4","3","7","3","8","2","3","2","2"
"S11630202102916","0","0","1","4","0","0","2","1","0","1","1","1"
"S11630202102917","0","4","11","9","9","3","5","3","6","6","12","0"
"S11630202103001","0","10","5","5","4","9","5","8","3","7","8","4"
"S11630202103002","0","8","6","5","8","12","6","6","7","6","9","2"
"S11630202103004","0","1","3","7","11","7","14","10","9","10","20","10"
"S11630202103005","0","4","7","8","4","6","7","5","6","12","6","2"
"S11630202103006","0","9","2","11","8","7","9","17","10","6","7","3"
"S11630202103007","0","70","65","70","80","58","78","49","62","49","67","26"
"S11630202103008","0","3","7","6","7","7","5","7","9","9","7","2"
"S11630202103009","0","9","10","14","23","31","21","29","29","32","26","16"
"S11630202103116","0","5","5","6","9","9","14","6","8","5","6","7"
"S11630202103010","0","4","9","10","16","10","7","6","4","4","6","3"
"S11630202103011","0","14","22","17","17","12","6","19","14","18","19","11"
"S11630202103101","0","2","9","9","4","6","5","5","14","8","4","2"
"S11630204104419","0","11","7","8","7","4","12","3","10","4","12","4"
"S11630204104506","0","5","4","7","3","13","12","12","4","1","10","4"
"S11630204104508","0","9","9","13","18","4","19","10","9","5","14","5"
"S11630204104509","0","3","1","3","6","9","5","4","3","2","1","2"
"S11630204104510","0","82","93","108","71","111","68","46","57","45","29","41"
"S11630204104514","0","2","6","7","6","12","9","8","13","5","3","9"
"S11630301105125","0","15","8","8","1","7","7","6","4","12","7","3"
"S11630301105126","0","12","11","12","17","8","12","6","8","11","12","5"
"S11630204104601","0","7","6","12","6","9","11","6","23","14","11","3"
"S11630204104602","0","1","2","3","6","1","7","2","1","0","3","1"
"S11630204104603","0","18","8","11","3","13","7","10","13","8","4","1"
"S11630204104604","0","6","3","6","1","6","8","3","9","7","3","4"
"S11630204104605","0","15","12","20","10","8","10","17","20","11","17","19"
"S11630204104606","0","2","8","13","12","19","14","12","21","11","8","11"
"S11630204104607","0","10","5","24","21","19","16","17","22","7","12","11"
"S11630204104611","0","38","54","78","72","83","78","75","132","108","100","63"
"S11630204104612","0","4","12","8","3","8","5","3","6","1","9","4"
"S11630204104613","0","8","9","4","9","8","4","11","9","2","2","8"
"S11630302105601","1","9","7","6","13","6","17","27","14","14","10","4"
"S11630302105602","0","1","7","1","6","5","5","4","4","5","4","1"
"S11630302105603","0","6","11","2","4","9","7","3","8","1","4","3"
"S11630302105604","0","2","7","8","15","11","2","4","7","15","18","4"
"S11630302105605","0","1","4","1","6","4","1","2","1","3","1","1"
"S11630302105607","0","16","12","6","9","8","11","13","9","4","9","2"
"S11630302105608","1","8","12","4","6","9","10","16","5","9","12","6"
"S11630302105609","0","1","8","9","7","3","8","9","3","3","2","3"
"S11630302105612","0","12","11","7","6","7","14","6","2","8","6","1"
"S11630302105613","0","6","4","5","9","3","8","3","5","7","4","3"
"S11630202103406","0","15","13","17","28","14","10","6","6","9","18","8"
"S11630202103407","0","5","2","4","4","1","7","3","2","1","5","2"
"S11630301105013","0","1","2","5","1","1","3","1","1","2","2","1"
"S11630301105014","0","4","3","5","7","5","14","7","1","3","7","2"
"S11630301105015","0","0","4","4","3","4","2","1","9","4","6","1"
"S11630301105016","0","1","2","4","2","0","1","1","2","1","2","0"
"S11630301105101","0","0","0","7","2","3","3","3","1","1","2","1"
"S11630301105102","0","12","9","13","16","31","12","13","9","8","11","4"
"S11630302105925","0","14","15","13","29","57","33","31","22","12","23","14"
"S11630302105926","0","3","4","1","2","1","5","2","0","3","1","1"
"S11630301105127","0","2","6","2","12","10","12","1","9","1","5","7"
"S11630301105128","0","2","1","3","11","4","5","3","4","4","6","1"
"S11630301105129","0","0","1","1","3","0","1","0","0","0","1","0"
"S11630301105130","0","2","7","0","0","9","5","0","3","4","4","1"
"S11630301105131","0","4","11","9","13","5","1","3","4","5","9","1"
"S11630302105504","0","7","9","8","14","9","12","18","11","6","13","14"
"S11630302105505","0","36","35","41","44","38","27","39","31","29","46","21"
"S11630302105217","0","11","6","9","12","8","8","1","8","5","11","4"
"S11630302105218","0","20","25","20","35","32","33","19","18","22","29","16"
"S11630302105324","0","7","4","9","3","9","14","9","7","7","11","14"
"S11630302105219","0","40","48","29","29","50","52","54","45","50","28","22"
"S11630302105221","0","20","22","27","29","30","43","14","19","31","41","13"
"S11630302105222","0","2","2","9","5","7","7","8","3","6","9","2"
"S11630302105223","0","7","4","7","9","15","9","4","6","7","7","3"
"S11630302105224","0","10","20","45","32","20","18","17","22","22","23","17"
"S11630302105225","0","11","8","19","20","26","21","15","32","19","5","4"
"S11630302105226","0","6","4","5","5","6","13","10","10","9","7","9"
"S11630302105227","0","24","21","9","15","22","35","7","15","11","6","4"
"S11630302105301","0","2","14","10","16","5","2","4","5","5","7","1"
"S11630202103408","0","2","6","3","2","6","5","3","1","2","6","2"
"S11630202103409","0","1","3","4","6","1","3","3","7","6","3","2"
"S11630202103410","0","4","4","2","6","11","8","7","1","6","4","8"
"S11630202103411","0","5","7","6","5","17","7","7","8","8","13","4"
"S11630202103413","0","4","8","8","8","9","11","9","6","12","10","3"
"S11630202103414","0","5","9","0","0","3","0","2","3","5","8","0"
"S11630202103415","0","18","14","12","12","9","18","22","14","9","17","6"
"S11630202103416","0","5","5","6","5","11","7","7","14","10","10","3"
"S11630202103419","0","8","4","7","10","5","10","10","8","10","8","5"
"S11630202103420","0","5","5","11","15","8","5","5","5","13","6","3"
"S11630204104205","0","23","18","8","13","17","17","13","21","10","14","6"
"S11630204104206","0","8","1","1","4","3","1","2","1","0","4","2"
"S11630302105927","0","2","3","0","12","2","2","2","2","2","3","1"
"S11630302105928","0","0","1","3","2","2","2","8","2","8","9","4"
"S11630302105929","0","5","9","8","7","6","9","1","2","3","7","6"
"S11630302105930","0","7","2","13","6","7","16","7","10","5","6","3"
"S11630203103810","0","14","3","3","10","19","17","16","14","12","13","7"
"S11630203103917","0","5","7","8","6","13","6","3","4","4","15","5"
"S11630203103521","0","22","21","21","21","10","14","13","13","11","16","7"
"S11630203103522","0","1","3","3","3","8","3","3","4","4","1","3"
"S11630302105506","0","30","23","30","17","13","24","24","19","20","13","12"
"S11630302105507","1","3","11","3","9","11","3","6","3","5","9","9"
"S11630302105508","0","36","39","44","38","30","23","30","29","29","23","6"
"S11630302105509","0","3","10","5","4","6","4","4","6","6","2","2"
"S11630302105510","0","8","7","7","6","6","2","4","8","6","8","5"
"S11630302105511","0","17","13","11","19","23","19","26","12","19","10","8"
"S11630302105512","0","2","5","3","6","5","7","10","2","7","5","2"
"S11630302105513","0","4","7","9","4","5","3","9","8","4","4","5"
"S11630302105514","0","1","3","6","7","5","3","7","8","5","1","7"
"S11630302105515","0","6","2","2","5","6","5","8","3","7","3","1"
"S11630203103924","0","2","7","3","1","5","3","3","1","1","5","0"
"S11630501111108","0","17","22","27","19","22","14","22","24","14","15","17"
"S11630501111109","0","57","54","62","56","60","65","45","45","68","68","29"
"S11630501111110","0","44","31","40","49","59","47","30","23","40","37","17"
"S11630501111111","0","8","19","9","11","15","19","16","14","22","30","17"
"S11630501111112","0","34","21","21","31","18","29","42","20","39","45","32"
"S11630501111113","0","25","37","43","43","48","37","46","42","50","45","24"
"S11630501111203","0","62","48","42","50","57","74","55","81","72","57","39"
"S11630501111204","0","45","24","36","26","26","22","30","27","31","31","13"
"S11630501111205","0","25","24","24","17","38","36","24","32","25","34","7"
"S11630501111206","0","25","13","13","16","24","15","26","18","25","13","15"
"S11630501111207","0","11","6","9","16","15","20","4","12","7","12","3"
"S11630204104207","0","10","3","2","5","7","8","3","3","7","14","3"
"S11630204104208","0","9","3","6","15","7","9","13","16","11","6","8"
"S11630204104209","0","3","2","4","1","11","1","4","6","8","6","2"
"S11630204104210","0","0","1","3","2","5","3","3","2","5","3","1"
"S11630204104211","0","7","4","8","6","9","9","11","9","3","11","0"
"S11630204104212","0","8","4","4","7","11","7","8","6","6","4","1"
"S11630204104213","0","5","6","3","3","14","2","6","6","6","11","4"
"S11630204104214","0","5","5","6","2","10","5","9","2","2","1","3"
"S11630204104215","0","10","12","9","12","10","10","16","6","9","4","5"
"S11630301104901","0","14","15","9","10","5","4","7","2","7","5","2"
"S11630203103602","0","1","2","1","2","1","3","4","0","1","3","0"
"S11630203103811","0","3","3","2","5","1","2","2","0","6","4","1"
"S11630203103901","0","10","11","24","27","16","15","7","4","10","10","5"
"S11630203103603","0","322","384","358","458","421","406","445","482","484","535","268"
"S11630203103704","0","78","62","78","109","149","113","89","99","88","111","51"
"S11630204104310","0","5","5","3","6","12","3","3","3","4","6","0"
"S11630203103925","0","6","9","8","6","10","8","7","6","9","8","4"
"S11630203103926","0","4","1","4","4","5","0","2","1","1","3","3"
"S11630203103927","0","1","1","6","8","12","2","2","7","3","6","1"
"S11630203103928","0","7","8","3","3","5","6","4","7","15","8","3"
"S11630203104001","0","18","13","13","14","10","6","10","4","3","5","1"
"S11630203103910","0","1","3","4","5","5","1","5","1","3","8","1"
"S11630203103911","0","7","7","9","8","9","3","7","1","0","4","2"
"S11630204104615","0","24","20","33","20","32","17","25","19","29","20","9"
"S11630204104616","0","7","12","25","14","27","24","11","9","3","18","17"
"S11630204104617","0","5","9","14","2","6","4","5","6","8","6","2"
"S11630204104620","0","1","3","6","7","7","3","7","9","7","6","5"
"S11630204104621","0","7","8","10","7","7","5","5","9","5","11","3"
"S11630204104622","0","6","6","11","10","2","5","3","7","5","12","2"
"S11630301104701","0","14","11","22","10","9","8","9","12","10","16","10"
"S11630301104702","0","10","7","7","5","8","3","4","4","5","3","7"
"S11630301104703","0","7","4","3","1","4","6","2","2","2","8","3"
"S11630301104704","0","4","2","6","4","5","3","1","3","7","3","9"
"S11630302105313","0","2","0","11","5","5","1","2","7","7","9","3"
"S11630301104902","0","0","0","5","2","5","3","2","0","4","2","1"
"S11630301104903","0","4","6","4","5","2","2","2","3","6","0","2"
"S11630301104904","0","5","3","3","2","7","11","6","0","7","4","2"
"S11630301104905","0","7","7","8","8","7","5","3","5","1","6","0"
"S11630301105003","0","8","9","7","9","6","6","10","10","6","10","6"
"S11630301104906","0","6","1","6","5","8","8","5","3","0","5","0"
"S11630302105912","0","5","3","10","16","1","4","1","2","7","2","4"
"S11630302105913","1","14","21","14","21","29","25","19","27","17","33","12"
"S11630204104401","0","35","29","28","45","41","20","41","22","25","26","15"
"S11630204104402","0","8","11","15","6","10","7","9","7","8","5","6"
"S11630204104403","0","26","18","15","8","11","11","8","8","8","10","5"
"S11630204104404","0","34","39","38","48","45","54","52","50","58","94","41"
"S11630204104405","0","2","9","11","7","3","5","3","2","2","3","3"
"S11630301105103","0","9","3","4","3","7","6","1","1","2","3","2"
"S11630301105104","0","2","2","7","11","9","13","3","4","1","1","1"
"S11630204104515","0","5","7","15","6","11","7","8","17","6","7","12"
"S11630204104516","0","6","15","8","3","11","8","12","10","9","3","6"
"S11630204104517","0","9","3","3","3","2","1","4","3","8","12","4"
"S11630204104519","0","0","0","0","0","0","1","3","2","4","0","1"
"S11630204104520","0","4","8","2","10","2","4","3","11","14","3","1"
"S11630204104521","0","1","3","2","3","0","1","3","1","0","5","2"
"S11630204104523","0","1","8","5","3","3","2","11","5","6","7","5"
"S11630204104524","0","5","5","1","4","5","10","21","27","47","69","48"
"S11630302105314","0","7","4","3","8","3","7","5","2","5","3","4"
"S11630302105315","0","36","26","33","36","22","28","24","22","17","30","17"
"S11630302105316","0","8","10","18","12","7","8","4","6","24","15","8"
"S11630302105317","0","6","8","8","3","2","8","7","2","2","7","1"
"S11630302105318","0","3","4","5","1","6","5","6","3","3","4","5"
"S11630302105319","0","3","10","6","10","8","9","1","6","16","2","5"
"S11630302105320","0","15","7","2","4","7","14","5","7","7","12","2"
"S11630302105321","0","7","7","10","4","3","3","6","5","3","4","1"
"S11630302105322","0","8","9","1","6","5","2","2","8","3","7","4"
"S11630302105323","0","4","5","13","4","5","4","5","10","8","2","0"
"S11630302105326","0","8","18","12","13","11","3","12","11","10","12","7"
"S11630302105327","0","6","6","5","3","7","2","4","2","5","6","1"
"S11630202103215","0","17","9","8","19","12","12","5","8","6","17","14"
"S11630302105914","0","26","22","14","26","24","18","15","29","15","29","18"
"S11630302105915","0","27","7","21","19","30","50","43","27","39","82","44"
"S11630303106024","0","6","7","1","5","3","4","0","7","1","15","8"
"S11630302105916","0","10","6","11","5","16","14","3","14","14","9","4"
"S11630302105917","0","13","7","6","7","10","13","6","12","4","6","2"
"S11630302105918","0","15","5","8","3","9","9","4","16","9","9","0"
"S11630302105923","0","7","3","2","4","8","3","2","4","5","7","0"
"S11630202103421","0","6","5","4","5","2","5","2","5","5","3","1"
"S11630202103422","0","8","4","6","5","9","8","4","7","6","3","2"
"S11630301105105","0","6","2","1","4","5","4","8","4","4","6","1"
"S11630301105106","0","40","64","74","86","107","51","53","32","22","24","15"
"S11630301105107","0","0","5","2","0","1","4","1","3","4","6","4"
"S11630301105108","0","1","3","3","8","0","3","3","2","1","3","1"
"S11630301105109","0","0","0","4","5","0","4","4","1","2","0","0"
"S11630301105110","0","2","3","6","9","3","14","3","3","0","2","1"
"S11630301105111","0","0","4","8","3","3","2","1","0","1","4","2"
"S11630302105403","0","79","87","82","78","76","72","51","45","100","68","29"
"S11630301105133","0","4","2","7","5","3","0","3","2","0","0","0"
"S11630301105134","0","0","3","4","0","1","3","4","4","0","0","0"
"S11630301105135","0","1","5","5","2","6","4","6","1","0","5","5"
"S11630301105136","0","3","2","2","6","2","1","2","3","2","2","0"
"S11630301105137","0","1","1","4","5","10","2","2","5","4","4","0"
"S11630301105138","0","2","4","2","1","7","7","0","3","3","4","5"
"S11630202103216","0","1","11","5","6","2","5","10","5","2","1","1"
"S11630202103217","0","10","13","5","14","10","10","11","22","9","9","6"
"S11630202103218","0","6","5","11","8","4","11","9","4","4","13","2"
"S11630202103219","0","6","9","8","10","7","9","12","17","17","20","4"
"S11630202103220","0","6","8","16","9","14","21","12","2","4","2","14"
"S11630202103221","0","5","7","12","9","11","13","9","5","9","11","14"
"S11630202103222","0","3","3","4","2","8","2","5","2","2","5","3"
"S11630202103223","0","8","8","3","4","5","0","5","5","1","4","6"
"S11630204104118","0","21","18","27","17","31","56","38","45","35","41","20"
"S11630203103501","0","5","10","9","6","8","13","12","9","6","7","6"
"S11630203103502","0","8","8","6","5","8","11","10","5","13","5","1"
"S11630203103503","0","12","9","11","5","13","8","9","8","12","5","10"
"S11630203103504","0","7","6","10","6","10","10","3","8","5","9","4"
"S11630203103505","0","3","4","8","4","6","11","6","3","3","9","7"
"S11630203103506","0","16","6","9","9","6","7","6","10","7","14","8"
"S11630203103507","0","6","3","12","8","10","10","3","12","5","0","0"
"S11630204104217","0","8","2","9","8","1","7","1","2","4","5","1"
"S11630204104218","0","2","2","4","2","0","4","2","3","2","2","1"
"S11630204104618","0","6","9","14","2","9","7","12","6","5","11","12"
"S11630302105404","0","12","12","16","23","15","19","17","8","5","23","2"
"S11630302105405","0","6","10","12","14","13","16","8","16","3","11","4"
"S11630302105406","0","17","8","11","13","15","11","11","11","10","12","2"
"S11630302105407","0","15","10","12","15","16","9","6","6","7","7","6"
"S11630302105408","0","30","39","68","71","69","100","121","136","287","306","135"
"S11630302105502","0","4","2","2","11","7","8","7","8","4","5","2"
"S11630302105503","0","3","1","3","2","13","7","6","2","17","9","3"
"S11630203103801","0","15","20","9","11","10","23","13","6","9","9","6"
"S11630302105909","0","10","14","17","21","16","17","16","35","47","18","15"
"S11630303106003","0","13","6","11","19","8","23","11","21","15","17","18"
"S11630302105910","0","15","13","15","14","12","10","12","16","10","18","15"
"S11630302105919","0","9","13","11","2","1","17","6","5","2","6","5"
"S11630302105920","0","1","3","3","8","2","6","3","4","7","9","4"
"S11630302105911","0","27","17","34","37","54","41","23","16","23","37","21"
"S11630204104119","0","1","6","4","13","2","3","6","0","5","4","0"
"S11630204104120","0","5","5","0","4","0","3","2","1","2","4","0"
"S11630204104121","0","9","4","6","6","6","12","5","5","10","10","3"
"S11630204104122","0","1","1","3","5","2","7","4","2","2","6","1"
"S11630204104414","0","3","1","12","11","9","2","9","3","2","10","5"
"S11630204104123","0","3","0","3","6","3","3","3","1","3","6","4"
"S11630204104124","0","3","0","0","0","2","0","1","2","2","4","1"
"S11630204104125","0","2","7","9","6","7","11","10","6","8","10","2"
"S11630301104705","0","8","6","14","7","2","8","7","6","6","10","8"
"S11630301104706","0","2","5","4","3","2","2","4","0","2","2","0"
"S11630204104219","0","4","3","4","1","5","5","7","1","6","3","7"
"S11630204104220","0","7","0","11","5","4","3","4","7","6","2","5"
"S11630204104221","0","5","12","1","3","6","3","5","0","6","5","1"
"S11630204104222","0","2","2","2","1","1","1","3","1","2","0","1"
"S11630204104223","0","2","5","4","4","1","2","3","1","4","5","0"
"S11630204104224","0","0","0","2","3","3","2","3","7","3","3","6"
"S11630204104225","0","2","4","3","3","2","1","4","4","5","2","2"
"S11630301104907","0","2","9","1","7","5","2","2","2","2","7","2"
"S11630301104908","0","1","3","3","1","3","3","3","0","2","1","0"
"S11630301104909","0","2","3","2","2","3","0","2","4","0","4","1"
"S11630301104910","0","5","9","3","3","8","4","7","5","3","7","0"
"S11630203103802","0","14","22","28","12","22","17","16","12","8","13","6"
"S11630203103805","0","11","22","15","26","17","11","17","11","13","12","7"
"S11630203103806","0","11","14","17","21","24","11","16","10","26","31","6"
"S11630203103807","0","17","8","10","19","12","9","7","14","8","9","12"
"S11630203103808","0","59","49","68","74","69","104","105","112","186","230","98"
"S11630204104406","0","12","16","14","12","17","13","17","17","18","25","11"
"S11630203103921","0","1","9","10","14","12","15","2","9","6","2","5"
"S11630203104003","0","2","7","6","8","15","5","8","9","8","17","12"
"S11630203104004","0","12","17","10","9","10","7","7","7","14","13","19"
"S11630203104005","0","12","10","24","9","21","19","16","11","19","19","15"
"S11630203104006","0","36","25","26","44","31","46","40","49","38","38","24"
"S11630203104007","0","6","11","12","17","4","8","0","3","8","12","7"
"S11630203104008","0","14","10","4","9","11","12","9","14","4","11","5"
"S11630204104113","0","7","9","5","3","2","2","0","1","5","8","0"
"S11630203104009","0","16","8","13","11","8","8","11","12","10","5","6"
"S11630203104010","0","6","9","5","9","10","2","4","1","12","4","4"
"S11630203104011","0","23","11","13","29","16","7","25","9","10","24","5"
"S11630301104707","0","5","2","1","3","3","7","2","6","7","0","0"
"S11630301104709","0","6","13","5","4","3","10","5","3","9","5","1"
"S11630301104710","0","3","5","1","5","2","9","7","7","5","3","1"
"S11630301104711","0","7","15","3","5","5","5","7","6","2","5","3"
"S11630301104712","0","23","14","24","8","26","37","20","30","31","36","21"
"S11630301104713","0","8","4","6","10","5","11","9","2","9","4","3"
"S11630301104714","0","5","6","3","2","3","8","5","8","3","3","2"
"S11630301104715","0","5","4","7","4","3","3","10","4","3","4","3"
"S11630301104716","0","2","6","1","1","2","4","2","2","3","6","3"
"S11630302105328","0","4","7","5","6","6","10","1","3","6","7","1"
"S11630302105329","0","9","6","8","11","7","6","4","7","9","9","4"
"S11630302105330","0","5","14","5","5","9","6","5","4","6","12","2"
"S11630301104913","0","2","1","7","6","10","1","1","7","14","4","5"
"S11630301104914","0","3","9","7","17","11","13","5","9","3","1","4"
"S11630301104915","0","5","6","5","7","6","6","5","5","8","6","1"
"S11630301104916","0","6","5","7","12","6","11","2","7","8","5","5"
"S11630301104917","0","15","15","15","17","13","12","10","12","12","18","2"
"S11630301104918","0","7","12","15","8","8","22","10","9","14","9","4"
"S11630301104919","0","9","5","17","9","9","13","16","7","9","14","5"
"S11630301104920","0","9","14","7","9","6","7","9","9","8","1","2"
"S11630302105809","0","10","16","6","16","8","14","13","12","14","14","6"
"S11630302105715","0","3","4","0","6","3","0","6","5","3","3","2"
"S11630302105716","0","15","9","10","14","23","17","14","13","13","22","11"
"S11630302105801","0","70","51","49","62","64","50","35","53","41","54","61"
"S11630204104407","0","16","10","4","8","12","10","3","4","8","10","5"
"S11630204104416","0","2","3","1","1","12","2","9","2","5","7","2"
"S11630204104501","0","6","6","5","9","6","2","7","9","9","7","3"
"S11630204104504","0","7","8","15","9","11","14","3","7","11","1","5"
"S11630204104522","0","2","3","11","9","7","23","7","19","9","2","4"
"S11630301105112","0","4","11","6","14","5","4","4","6","0","1","1"
"S11630301105113","0","8","9","7","7","2","7","13","8","7","4","1"
"S11630301105114","0","3","0","0","3","2","4","1","1","2","3","2"
"S11630204104525","0","0","0","0","0","1","0","4","3","6","3","5"
"S11630204104526","0","0","0","0","3","7","2","10","1","0","3","1"
"S11630204104527","0","0","0","1","1","1","3","9","1","0","2","3"
"S11630204104528","0","0","0","0","0","0","0","6","4","1","4","2"
"S11630204104529","0","3","4","6","2","0","3","1","4","8","8","7"
"S11630204104530","0","0","0","0","0","5","3","2","8","10","6","8"
"S11630204104531","0","0","0","0","3","3","0","3","2","1","8","7"
"S11630204104533","0","0","0","0","0","0","0","0","1","1","4","5"
"S11630204104534","0","13","21","27","15","22","12","23","23","27","29","21"
"S11630204104535","0","6","3","2","2","2","8","4","8","2","6","3"
"S11630302105331","0","10","8","10","13","20","18","4","4","8","3","3"
"S11630302105332","0","8","13","12","12","10","9","3","3","9","3","3"
"S11630302105333","0","9","11","3","3","5","6","5","10","5","4","0"
"S11630302105334","0","4","13","6","5","5","11","9","7","4","4","2"
"S11630302105335","0","2","2","2","3","7","9","6","1","2","8","2"
"S11630302105336","0","16","15","12","6","6","9","6","4","9","11","4"
"S11630302105337","1","26","28","35","29","34","46","27","34","37","48","33"
"S11630202103224","0","9","11","10","7","15","14","15","12","7","7","11"
"S11630202103306","0","11","5","2","18","10","11","10","10","6","3","2"
"S11630202103307","0","8","2","2","2","8","3","4","3","3","3","1"
"S11630302105802","0","53","58","54","68","50","50","44","52","65","72","41"
"S11630302105803","0","51","43","67","82","51","54","49","45","47","47","35"
"S11630302105804","1","10","10","22","26","17","16","20","28","36","50","26"
"S11630302105805","0","14","14","28","20","25","40","32","22","35","27","8"
"S11630302105807","0","11","12","11","38","18","9","12","5","16","13","14"
"S11630203103508","0","3","8","10","5","10","7","2","1","1","5","3"
"S11630203103916","0","8","14","13","9","10","9","12","12","14","9","1"
"S11630301105115","0","1","1","3","4","11","8","3","10","10","9","3"
"S11630301105116","0","1","3","2","2","2","3","4","4","2","3","1"
"S11630301105117","0","2","3","0","1","11","1","2","6","2","0","1"
"S11630303106002","0","20","6","4","10","14","9","10","13","12","11","4"
"S11630302105903","0","4","3","4","6","8","4","3","0","0","3","4"
"S11630302105904","0","4","3","8","9","8","4","6","6","8","16","4"
"S11630301105139","0","0","3","3","6","0","7","5","2","4","2","0"
"S11630301105140","0","0","0","2","9","1","5","1","5","0","6","2"
"S11630301105141","0","1","2","2","5","2","3","1","6","2","5","2"
"S11630301105142","0","285","342","203","186","194","278","183","265","415","472","249"
"S11630301105143","0","7","8","4","9","2","10","3","9","6","11","4"
"S11630302105201","1","19","22","28","21","26","29","20","30","15","22","10"
"S11630302105202","0","11","20","20","18","21","11","16","13","17","75","38"
"S11630302105203","0","13","18","14","6","13","10","14","5","14","18","8"
"S11630302105204","0","28","23","27","37","26","35","27","27","24","18","20"
"S11630202103311","0","7","9","10","5","6","13","7","4","6","7","0"
"S11630202103312","0","6","10","12","13","6","13","7","10","12","12","3"
"S11630202103313","0","5","4","6","6","1","9","3","4","3","1","1"
"S11630202103314","0","8","7","10","7","7","9","2","6","2","5","4"
"S11630202103417","0","10","10","5","14","12","6","8","8","8","5","3"
"S11630202103225","0","108","84","95","146","135","98","83","63","86","85","54"
"S11630202103301","0","1","8","4","1","13","5","5","5","4","6","0"
"S11630202103302","0","7","3","8","4","7","6","4","8","1","10","3"
"S11630202103303","0","2","2","5","6","3","4","9","4","1","0","1"
"S11630204104127","0","4","5","8","1","12","12","4","22","2","9","2"
"S11630203103509","0","3","16","4","5","4","4","7","7","2","4","1"
"S11630203103510","0","0","2","2","3","5","2","1","0","2","0","1"
"S11630203103511","0","5","1","9","12","10","5","1","3","3","1","1"
"S11630203103518","0","5","4","7","9","17","10","10","13","3","4","2"
